experiment,treatment,sim.id,status,reg.of.origin,w,alpha,beta,sigma_E,carry.cap,energy.gradient,max.K,num.of.bins,max.time,max.richness,replicate,disturb_frequency,temperate_disturb_intensity,tropical_disturb_intensity,specn.gradient,specn.factor,gamma
env,L,6065,completed,tropical,1,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,1,0,0,0,off,NA,0.1
env,L,6066,completed,tropical,1,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,2,0,0,0,off,NA,0.1
env,L,6067,completed,tropical,1,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,3,0,0,0,off,NA,0.1
env,L,6068,completed,tropical,1,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,4,0,0,0,off,NA,0.1
env,L,6069,completed,tropical,1,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,5,0,0,0,off,NA,0.1
env,L,6070,completed,tropical,1,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,6,0,0,0,off,NA,0.1
env,L,6071,completed,tropical,1,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,7,0,0,0,off,NA,0.1
env,L,6072,completed,tropical,1,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,8,0,0,0,off,NA,0.1
env,L,6073,completed,tropical,1,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,9,0,0,0,off,NA,0.1
env,L,6074,completed,tropical,1,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,10,0,0,0,off,NA,0.1
env,L,6075,completed,temperate,1,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,1,0,0,0,off,NA,0.1
env,L,6076,completed,temperate,1,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,2,0,0,0,off,NA,0.1
env,L,6077,completed,temperate,1,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,3,0,0,0,off,NA,0.1
env,L,6078,completed,temperate,1,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,4,0,0,0,off,NA,0.1
env,L,6079,completed,temperate,1,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,5,0,0,0,off,NA,0.1
env,L,6080,completed,temperate,1,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,6,0,0,0,off,NA,0.1
env,L,6081,completed,temperate,1,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,7,0,0,0,off,NA,0.1
env,L,6082,completed,temperate,1,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,8,0,0,0,off,NA,0.1
env,L,6083,completed,temperate,1,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,9,0,0,0,off,NA,0.1
env,L,6084,completed,temperate,1,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,10,0,0,0,off,NA,0.1
env,M,6085,completed,tropical,5,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,1,0,0,0,off,NA,0.1
env,M,6086,completed,tropical,5,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,2,0,0,0,off,NA,0.1
env,M,6087,completed,tropical,5,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,3,0,0,0,off,NA,0.1
env,M,6088,completed,tropical,5,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,4,0,0,0,off,NA,0.1
env,M,6089,completed,tropical,5,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,5,0,0,0,off,NA,0.1
env,M,6090,completed,tropical,5,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,6,0,0,0,off,NA,0.1
env,M,6091,completed,tropical,5,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,7,0,0,0,off,NA,0.1
env,M,6092,completed,tropical,5,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,8,0,0,0,off,NA,0.1
env,M,6093,completed,tropical,5,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,9,0,0,0,off,NA,0.1
env,M,6094,completed,tropical,5,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,10,0,0,0,off,NA,0.1
env,M,6095,completed,temperate,5,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,1,0,0,0,off,NA,0.1
env,M,6096,completed,temperate,5,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,2,0,0,0,off,NA,0.1
env,M,6097,completed,temperate,5,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,3,0,0,0,off,NA,0.1
env,M,6098,completed,temperate,5,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,4,0,0,0,off,NA,0.1
env,M,6099,completed,temperate,5,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,5,0,0,0,off,NA,0.1
env,M,6100,completed,temperate,5,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,6,0,0,0,off,NA,0.1
env,M,6101,completed,temperate,5,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,7,0,0,0,off,NA,0.1
env,M,6102,completed,temperate,5,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,8,0,0,0,off,NA,0.1
env,M,6103,completed,temperate,5,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,9,0,0,0,off,NA,0.1
env,M,6104,completed,temperate,5,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,10,0,0,0,off,NA,0.1
env,H,6105,completed,tropical,9,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,1,0,0,0,off,NA,0.1
env,H,6106,completed,tropical,9,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,2,0,0,0,off,NA,0.1
env,H,6107,completed,tropical,9,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,3,0,0,0,off,NA,0.1
env,H,6108,completed,tropical,9,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,4,0,0,0,off,NA,0.1
env,H,6109,completed,tropical,9,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,5,0,0,0,off,NA,0.1
env,H,6110,completed,tropical,9,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,6,0,0,0,off,NA,0.1
env,H,6111,completed,tropical,9,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,7,0,0,0,off,NA,0.1
env,H,6112,completed,tropical,9,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,8,0,0,0,off,NA,0.1
env,H,6113,completed,tropical,9,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,9,0,0,0,off,NA,0.1
env,H,6114,completed,tropical,9,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,10,0,0,0,off,NA,0.1
env,H,6115,completed,temperate,9,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,1,0,0,0,off,NA,0.1
env,H,6116,completed,temperate,9,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,2,0,0,0,off,NA,0.1
env,H,6117,completed,temperate,9,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,3,0,0,0,off,NA,0.1
env,H,6118,completed,temperate,9,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,4,0,0,0,off,NA,0.1
env,H,6119,completed,temperate,9,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,5,0,0,0,off,NA,0.1
env,H,6120,completed,temperate,9,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,6,0,0,0,off,NA,0.1
env,H,6121,completed,temperate,9,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,7,0,0,0,off,NA,0.1
env,H,6122,completed,temperate,9,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,8,0,0,0,off,NA,0.1
env,H,6123,completed,temperate,9,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,9,0,0,0,off,NA,0.1
env,H,6124,completed,temperate,9,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,10,0,0,0,off,NA,0.1
nic,L,3665,completed,tropical,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,1,0,0,0,off,NA,0.1
nic,L,3666,completed,tropical,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,2,0,0,0,off,NA,0.1
nic,L,3667,completed,tropical,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,3,0,0,0,off,NA,0.1
nic,L,3668,completed,tropical,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,4,0,0,0,off,NA,0.1
nic,L,3669,completed,tropical,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,5,0,0,0,off,NA,0.1
nic,L,3670,completed,tropical,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,6,0,0,0,off,NA,0.1
nic,L,3671,completed,tropical,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,7,0,0,0,off,NA,0.1
nic,L,3672,completed,tropical,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,8,0,0,0,off,NA,0.1
nic,L,3673,completed,tropical,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,9,0,0,0,off,NA,0.1
nic,L,3674,completed,tropical,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,10,0,0,0,off,NA,0.1
nic,L,3765,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,1,0,0,0,off,NA,0.1
nic,L,3766,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,2,0,0,0,off,NA,0.1
nic,L,3767,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,3,0,0,0,off,NA,0.1
nic,L,3768,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,4,0,0,0,off,NA,0.1
nic,L,3769,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,5,0,0,0,off,NA,0.1
nic,L,3770,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,6,0,0,0,off,NA,0.1
nic,L,3771,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,7,0,0,0,off,NA,0.1
nic,L,3772,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,8,0,0,0,off,NA,0.1
nic,L,3773,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,9,0,0,0,off,NA,0.1
nic,L,3774,completed,temperate,3,1.00E-06,1.00E-04,1,on,on,40000,11,30000,10000,10,0,0,0,off,NA,0.1
nic,M,6125,completed,tropical,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,1,0,0,0,off,NA,0.1
nic,M,6126,completed,tropical,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,2,0,0,0,off,NA,0.1
nic,M,6127,completed,tropical,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,3,0,0,0,off,NA,0.1
nic,M,6128,completed,tropical,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,4,0,0,0,off,NA,0.1
nic,M,6129,completed,tropical,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,5,0,0,0,off,NA,0.1
nic,M,6130,completed,tropical,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,6,0,0,0,off,NA,0.1
nic,M,6131,completed,tropical,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,7,0,0,0,off,NA,0.1
nic,M,6132,completed,tropical,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,8,0,0,0,off,NA,0.1
nic,M,6133,completed,tropical,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,9,0,0,0,off,NA,0.1
nic,M,6134,completed,tropical,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,10,0,0,0,off,NA,0.1
nic,M,6135,completed,temperate,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,1,0,0,0,off,NA,0.1
nic,M,6136,completed,temperate,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,2,0,0,0,off,NA,0.1
nic,M,6137,completed,temperate,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,3,0,0,0,off,NA,0.1
nic,M,6138,completed,temperate,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,4,0,0,0,off,NA,0.1
nic,M,6139,completed,temperate,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,5,0,0,0,off,NA,0.1
nic,M,6140,completed,temperate,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,6,0,0,0,off,NA,0.1
nic,M,6141,completed,temperate,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,7,0,0,0,off,NA,0.1
nic,M,6142,completed,temperate,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,8,0,0,0,off,NA,0.1
nic,M,6143,completed,temperate,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,9,0,0,0,off,NA,0.1
nic,M,6144,completed,temperate,3,1.00E-06,1.00E-04,5,on,on,40000,11,30000,10000,10,0,0,0,off,NA,0.1
nic,H,6145,completed,tropical,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,1,0,0,0,off,NA,0.1
nic,H,6146,completed,tropical,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,2,0,0,0,off,NA,0.1
nic,H,6147,completed,tropical,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,3,0,0,0,off,NA,0.1
nic,H,6148,completed,tropical,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,4,0,0,0,off,NA,0.1
nic,H,6149,completed,tropical,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,5,0,0,0,off,NA,0.1
nic,H,6150,completed,tropical,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,6,0,0,0,off,NA,0.1
nic,H,6151,completed,tropical,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,7,0,0,0,off,NA,0.1
nic,H,6152,completed,tropical,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,8,0,0,0,off,NA,0.1
nic,H,6153,completed,tropical,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,9,0,0,0,off,NA,0.1
nic,H,6154,completed,tropical,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,10,0,0,0,off,NA,0.1
nic,H,6155,completed,temperate,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,1,0,0,0,off,NA,0.1
nic,H,6156,completed,temperate,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,2,0,0,0,off,NA,0.1
nic,H,6157,completed,temperate,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,3,0,0,0,off,NA,0.1
nic,H,6158,completed,temperate,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,4,0,0,0,off,NA,0.1
nic,H,6159,completed,temperate,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,5,0,0,0,off,NA,0.1
nic,H,6160,completed,temperate,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,6,0,0,0,off,NA,0.1
nic,H,6161,completed,temperate,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,7,0,0,0,off,NA,0.1
nic,H,6162,completed,temperate,3,1.00E-06,1.00E-04,9,on,on,40000,11,30000,10000,8,0,0,0,off,NA,0.1
